,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
8217,OSUGUG_clean,5.24214,3.30982,5.22706,0.971684,0,0,1192.5,1227.25,0.574976,0.591731,0,Cu,Yes,Cu
10720,TEBWII_clean,7.57165,3.30977,7.57165,0.966019,0,0,1139.69,1179.78,0.566954,0.586898,0,Cu,Yes,Cu
2568,EROJUS02_clean,4.78581,3.30953,4.78581,1.37777,0,0,718.137,521.231,0.512967,0.372317,0,Cd,No,
9922,RUGPEQ_clean,5.86915,3.30945,5.86915,1.4685,0,0,769.487,523.995,0.478521,0.325857,0,Cd,Yes,Cd
10846,TIRKEM01_clean,5.35158,3.3094,5.33789,1.2288,0,0,1034.54,841.913,0.503746,0.409951,0,Ce,No,
12252,WADJET_clean,4.91819,3.30933,4.91711,2.19881,0,0,399.465,181.673,0.386355,0.175711,0,"V,Dy",Yes,"V,Dy"
11030,TUMRAW_clean,4.33484,3.3089,4.32725,1.28672,0,0,826.246,642.132,0.493591,0.383603,0,Cu,No,
14241,ZIYPUU_clean,4.16938,3.3088,4.16938,1.46817,0,0,462.934,315.314,0.501636,0.341674,0,Cd,Yes,Cd
1612,DAFHID_clean,5.13503,3.30856,5.1173,1.28807,0,0,864.781,671.375,0.516407,0.400914,0,Ni,No,
14143,ZEGSUB_clean,7.31541,3.30833,7.31541,1.20729,0,0,732.83,607.004,0.48124,0.398612,0,Ca,Yes,Ca
6030,LALPIZ_clean,4.79448,3.30829,4.79412,1.45261,0,0,494.258,340.255,0.438153,0.301632,6.75E-05,Y,Yes,Y
13262,XIVMEW_clean,5.05406,3.30789,4.7733,1.54947,0,0,650.439,419.781,0.449555,0.290134,0,Fe,Yes,Fe
7923,OHAQEU_clean,4.72292,3.30727,4.72292,1.44091,0,0,810.837,562.727,0.505633,0.350913,0,"Fe,Nb",Yes,Fe
13912,YOZMIL_clean,11.1073,3.30725,11.08198,1.26713,0,0,1248.84,985.561,0.541568,0.427396,0,Cu,No,
9719,RILVOZ_clean,4.31101,3.3071,4.17578,1.30078,0,0,551.538,424.005,0.48126,0.369978,0,Mn,Yes,Mn
10283,SEYFAE_clean,4.13987,3.30607,4.13987,2.02738,0,0,427.453,210.841,0.465131,0.229425,0,Er,Yes,Er
1531,CUTGII_clean,4.82643,3.30602,4.82551,1.21415,0,0,1269.25,1045.39,0.62916,0.518191,0,Co,No,
5239,JOBGIS_clean,5.68311,3.30572,5.68311,1.17271,0,0,528.566,450.722,0.458804,0.391234,0,Zn,Yes,Zn
6064,LARNEA_clean,4.57019,3.30547,4.02594,1.70236,0,0,881.015,517.527,0.490939,0.288388,0,Cd,Yes,Cd
3559,GEDLIM_clean,7.1956,3.30533,7.1781,1.13684,0,0,972.452,855.401,0.520895,0.458196,0,Zn,No,
243,AMIWID_clean,4.855,3.30529,4.76929,2.19335,0,0,641.229,292.351,0.427778,0.195034,0,Eu,Yes,Eu
7250,NANMEW_clean,7.12956,3.30498,7.12956,1.38608,0,0,648.042,467.536,0.502452,0.362499,0,"Mg,La",Yes,Mg
5542,KEHDOS_clean,4.08176,3.30481,3.94024,1.47581,0,0,312.676,211.868,0.453679,0.307411,0,Ag,Yes,Ag
10230,SEMFOH_clean,7.8142,3.30481,7.8142,1.15974,0,0,938.522,809.25,0.531183,0.458018,0,Cu,Yes,Cu
4864,IQINAZ_clean,4.8626,3.30446,4.80624,1.37034,0,0,793.618,579.14,0.496587,0.362383,0,Cd,Yes,Cd
7283,NARPEE_clean,3.71114,3.3033,3.71114,2.29389,0,0,119.39,52.0467,0.386522,0.1685,0,Tb,Yes,Tb
612,BALPIP_clean,5.91187,3.30294,5.87314,2.26869,0,0,801.672,353.364,0.489322,0.215685,0,"La,Pt,Ag",Yes,"La,Pt,Ag"
10316,SIQFED_clean,4.03685,3.30285,4.03344,2.45342,0,0,314.503,128.19,0.414265,0.168852,0,Zr,No,
5867,KUNLEL_clean,4.41786,3.30254,4.41256,1.44273,0,0,472.228,327.316,0.490978,0.340312,0,Zn,Yes,Zn
14736,cm501138g_si_004_clean,11.09918,3.3024,11.09918,1.26713,0,0,1238.41,977.338,0.541375,0.427246,0,Cu,No,
3229,FOHSAW01_clean,4.19352,3.30187,4.19352,1.65632,0,0,504.348,304.5,0.47068,0.284173,0,"Sr,Ni",Yes,"Sr,Ni"
12658,WODPUC_clean,5.52662,3.30183,5.46703,1.50752,0,0,871.632,578.188,0.510033,0.338326,0,"Dy,Zn",No,
2909,FASFUD_clean,4.95441,3.30157,4.95349,1.52894,0,0,401.499,262.599,0.418064,0.273433,0,Sm,No,
1732,DAXJET02_clean,3.54773,3.30155,3.52649,1.37928,0,0,43.8058,31.7599,0.487485,0.353434,0,Fe,No,
14046,YUZSUH_clean,4.28405,3.30153,4.28405,1.85397,0,0,735.877,396.918,0.477308,0.257451,0,V,Yes,V
10237,SENWEP_clean,5.91196,3.30105,5.91114,1.23957,0,0,1547.45,1248.38,0.639349,0.515784,0,Zn,Yes,Zn
10028,S2053229615014217_dt3035sup1_clean,5.70679,3.30096,4.34407,1.05844,0,0,836.525,790.34,0.507638,0.479611,0,Mn,Yes,Mn
7860,OFEHEO_clean,5.40015,3.30081,4.5723,1.44674,0,0,563.762,389.677,0.469021,0.324192,0,Cd,No,
1597,DACYAI_clean,5.20878,3.30064,5.20878,1.46649,0,0,693.163,472.669,0.459017,0.313005,0,Yb,No,
1827,DIKPOD_clean,5.23747,3.3006,5.22183,1.73149,0,0,1135.35,655.71,0.542944,0.313571,0,La,Yes,La
14709,cg8002564_si_008_clean,4.98348,3.3006,4.98348,1.38404,0,0,806.768,582.909,0.49137,0.355026,0,Cd,No,
3180,FITHAS_charged,5.29109,3.3005,5.28106,1.25261,0,0,976.893,779.886,0.499732,0.398952,0,Sc,No,
7279,NARNIG_clean,3.7044,3.30001,3.70047,2.34187,0,0,104.994,44.8333,0.379352,0.161987,0,Dy,Yes,Dy
6878,MIHHUG_clean,5.15935,3.29973,5.1188,1.30475,0,0,458.323,351.272,0.44456,0.340724,0,Cd,No,
3881,GUPRIU_clean,4.44967,3.29969,4.44967,1.40461,0,0,476.524,339.257,0.408298,0.290684,0,Co,No,
8860,PUFNUB_clean,4.95108,3.29964,4.95034,1.53377,0,0,399.668,260.579,0.415611,0.270974,0,Sm,No,
10312,SIPVOD_clean,3.92493,3.29925,3.90008,2.21172,0,0,58.0834,26.2616,0.384128,0.173678,0,U,Yes,U
10317,SIQFIH_clean,4.05766,3.29888,4.03501,2.45502,0,0,348.044,141.769,0.419354,0.170815,0,Zr,No,
11295,ULAPUU_clean,5.20734,3.29863,4.43104,1.11394,0,0,981.11,880.755,0.54327,0.487701,0,Cd,No,
8838,POXHOA_clean,3.6953,3.29845,3.6953,2.30113,0,0,85.879,37.3203,0.357663,0.155429,0,"Dy,Ag",Yes,Ag
11429,UNABER_clean,4.2819,3.29824,4.2819,1.63284,0,0,139.554,85.4671,0.39967,0.24477,0,"Mo,Cu",Yes,Mo
3098,FIGFOR_clean,3.71686,3.29795,3.71373,2.20004,0,0,194.29,88.3124,0.436422,0.19837,0,Zn,No,
7711,NUJGEG_clean,5.80311,3.29712,5.80311,1.51607,0,0,515.141,339.787,0.424139,0.279762,0,Mn,No,
12392,WAZQUL_clean,5.77464,3.29694,5.7582,1.14799,0,0,1167.95,1017.39,0.514944,0.448562,0,Ce,Yes,Ce
12048,VOCNOQ_clean,4.9916,3.2968,4.42967,1.46036,0,0,304.659,208.619,0.419821,0.287478,0,Ni,No,
10632,TAJXIO06_clean,3.64535,3.29678,3.60844,2.33891,0,0,63.3491,27.0849,0.313434,0.134009,0,Ag,Yes,Ag
3439,GAGTAM_clean,5.81126,3.29675,5.81126,1.65427,0,0,1327.44,802.43,0.554884,0.335425,0,Th,Yes,Th
12472,WEMJII_charged,4.91288,3.29674,4.90624,1.7211,0,0,259.327,150.675,0.329623,0.191519,0,Ca,No,
1170,CEHWIX_clean,3.77572,3.29583,3.77572,1.55337,0,0,301.152,193.87,0.473455,0.304793,0,Ni,Yes,Ni
11480,UQUCUG_clean,4.91196,3.29582,4.91125,1.5455,0,0,400.326,259.027,0.417659,0.270242,0,Gd,No,
8104,OPAPIF_clean,4.8101,3.29545,4.80966,1.59017,0,0,486.105,305.694,0.437505,0.275131,8.00E-05,Eu,Yes,Eu
923,BUCPEW_clean,4.75377,3.29508,4.47207,1.25268,0,0,435.186,347.404,0.434387,0.346766,0,Eu,No,
8105,OPAPOL_clean,4.79997,3.29458,4.79997,1.61076,0,0,487.197,302.463,0.437508,0.271615,6.48E-05,Tb,Yes,Tb
