,filename,LCD,PLD,LFPD,cm3_g,ASA_m2_cm3,ASA_m2_g,NASA_m2_cm3,NASA_m2_g,AV_VF,AV_cm3_g,NAV_cm3_g,All_Metals,Has_OMS,Open_Metal_Sites
0,00958972.2016.1250260_1436516_freeONLY,3.6603,2.96595,3.57998,1.60178,0,0,104.681,65.3525,0.369865,0.230908,0,Cu,Yes,Cu
1,00958972.2016.1250260_1436519_freeONLY,3.92958,3.15512,3.92958,1.50554,0,0,225.404,149.716,0.397034,0.263715,0,Cd,No,
2,00958972.2016.1253069_1472494_freeONLY,5.78464,3.7594,5.78464,3.759,600.436,159.733,1.87591,0.499046,0.390627,0.103918,0,"W,Na,Cu",Yes,"Na,Cu"
3,1499489-acs.cgd.6b01265_1499490_freeONLY,10.85017,3.77263,10.51003,0.884188,1698.24,1920.68,0,0,0.64473,0.729177,0,Cu,No,
4,ABAVIJ_freeONLY,4.45543,2.4972,4.08564,1.52493,0,0,304.952,199.978,0.38969,0.255546,0,Co,No,
5,ABAVOP_freeONLY,3.53642,2.44162,3.53007,1.56594,0,0,128.179,81.8545,0.374984,0.239463,0,Co,No,
6,ABAYIO_freeONLY,11.39486,4.3226,11.33724,0.949126,1422.96,1499.23,409.407,431.352,0.667413,0.703187,0,Mn,No,
7,ABAYOU_freeONLY,11.27344,4.5108,11.27344,0.979267,1460.33,1491.25,419.953,428.844,0.667521,0.681654,0,Co,No,
8,ABEFUL_freeONLY,4.93969,3.32948,4.93889,1.55108,418.594,269.873,0,0,0.413506,0.266593,0,Tb,No,
9,ABEMIF_freeONLY,11.25329,6.7911,11.25329,1.15199,1279.59,1110.77,472.561,410.213,0.639912,0.555484,0,Cu,Yes,Cu
10,ABESUX_freeONLY,4.34139,2.75123,4.24605,4.16246,0,0,345.415,82.9833,0.412975,0.0992141,0,U,No,
11,ABETAE_freeONLY,4.37472,2.81187,4.26419,4.11394,0,0,377.98,91.8777,0.420714,0.102265,0,U,No,
12,ABETIN_freeONLY,9.47418,7.83744,9.45292,0.597233,2283.4,3823.3,0,0,0.735808,1.23203,0,Cu,No,
